,Name,Term
0,الخرف من نوع الزهايمر,alzheimer’s disease
1,Alzheimerova nemoc,alzheimer’s disease
2,Alzheimerova-Fischerova demence,alzheimer’s disease
3,Alzheimerova skleróza,alzheimer’s disease
4,Alzheimerův syndrom,alzheimer’s disease
5,Alzheimerova nemoc,alzheimer’s disease
6,Alzheimerova demence,alzheimer’s disease
7,Alzheimerova choroba,alzheimer’s disease
8,Demence Alzheimerova typu,alzheimer’s disease
9,Fischerova nemoc,alzheimer’s disease
10,senilní demence,alzheimer’s disease
11,Alzheimerova-Fischerova choroba,alzheimer’s disease
12,Ziekte van Alzheimer,alzheimer’s disease
13,Ziekte van Alzheimer,alzheimer’s disease
14,"Dementie, seniele",alzheimer’s disease
15,Alzheimer; dementie,alzheimer’s disease
16,الخرف من نوع الزهايمر غير محدد,alzheimer’s disease
17,مرض الزهايمر,alzheimer’s disease
18,senilní demence Alzheimerova typu,alzheimer’s disease
19,Demence Alzheimerova typu,alzheimer’s disease
20,demence Alzheimerova typu,alzheimer’s disease
21,Alzheimer; dementie,alzheimer’s disease
22,"Dementie, Alzheimer-type",alzheimer’s disease
23,الخرف من نوع الزهايمر,alzheimer’s disease
24,Demence Alzheimerova typu NOS,alzheimer’s disease
25,الاضطرابات العصبية التنكسية,neurodegenerative disorders
26,الاضطرابات العصبية التنكسية,neurodegenerative disorders
27,Neurodegeneratieve ziekten,neurodegenerative disorders
28,neurodegeneratieaandoening,neurodegenerative disorders
29,Neurodegenerative Diseases,neurodegenerative disorders
30,"Degenerative Condition, Neurologic",neurodegenerative disorders
31,"Degenerative Conditions, Neurologic",neurodegenerative disorders
32,"Neurologic Diseases, Degenerative",neurodegenerative disorders
33,Neurologic Degenerative Disease,neurodegenerative disorders
34,Neurodegenerative Disorders,neurodegenerative disorders
35,NEURODEGENERATIVE DISORDER,neurodegenerative disorders
36,Neurodegenerative diseases,neurodegenerative disorders
37,diseases neurodegenerative,neurodegenerative disorders
38,Neurologic Degenerative Condition,neurodegenerative disorders
39,Neurologic Degenerative Diseases,neurodegenerative disorders
40,degenerative neurologic disorder,neurodegenerative disorders
41,Neurodegenerative disorder,neurodegenerative disorders
42,neurodegenerative disease,neurodegenerative disorders
43,degenerative disease of nervous system (diagnosis),neurodegenerative disorders
44,"Degenerative Diseases, Nervous System",neurodegenerative disorders
45,degenerative disease of nervous system,neurodegenerative disorders
46,degenerative neurologic diseases,neurodegenerative disorders
47,degenerative disorders neurologic,neurodegenerative disorders
48,"Ziekten, neurodegeneratieve",neurodegenerative disorders
49,neurodegenerative disorder,neurodegenerative disorders
50,amyloid,amyloid
51,amyloid,amyloid
52,Amyloïde,amyloid
53,amyloids,amyloid
54,amyloidní látky,amyloid
55,Amyloid Substance,amyloid
56,Amyloid,amyloid
57,Amyloid,amyloid
58,"Amyloid, NOS",amyloid
59,"Substance, Amyloid",amyloid
60,Amyloidi,amyloid
61,Amyloid,amyloid
62,Substance amyloïde,amyloid
63,Amyloid,amyloid
64,amyloid,amyloid
65,Amyloid,amyloid
66,Amyloid,amyloid
67,アミロイド,amyloid
68,類澱粉質,amyloid
69,Amiloide,amyloid
70,Sostanza amiloide,amyloid
71,類でんぷん質,amyloid
72,Amiloide,amyloid
73,アミロイド物質,amyloid
74,Amyloid,amyloid
75,beta-amyloid,amyloid beta peptides
76,Amyloid beta Peptides,amyloid beta peptides
77,Amyloid beta peptide,amyloid beta peptides
78,Alzheimer beta-Protein,amyloid beta peptides
79,Amyloid beta-Peptides,amyloid beta peptides
80,Amyloid beta Peptide,amyloid beta peptides
81,Amyloid beta-Peptides,amyloid beta peptides
82,"beta-Peptide, Amyloid",amyloid beta peptides
83,"beta-Protein, Alzheimer",amyloid beta peptides
84,Amyloid beta-Peptide,amyloid beta peptides
85,amyloid beta,amyloid beta peptides
86,amyloidní beta proteiny,amyloid beta peptides
87,"beta-Peptides, Amyloid",amyloid beta peptides
88,amyloidní beta-peptidy,amyloid beta peptides
89,amyloidní beta peptid,amyloid beta peptides
90,Alzheimer beta Protein,amyloid beta peptides
91,amyloidní beta-protein,amyloid beta peptides
92,amyloidní beta protein Alzheimerovy nemoci,amyloid beta peptides
93,amyloidní beta-proteiny,amyloid beta peptides
94,Amyloid beta Protein,amyloid beta peptides
95,Amyloid AD AP,amyloid beta peptides
96,beta-Amyloid Protein,amyloid beta peptides
97,"beta-Protein, Amyloid",amyloid beta peptides
98,Alzheimers ABP,amyloid beta peptides
99,Amyloid beta,amyloid beta peptides
100,Amyloid beta 40 peptide,amyloid beta 40 peptide
101,Amyloid beta 40 peptide,amyloid beta 40 peptide
102,Amyloid beta 40 peptide (substance),amyloid beta 40 peptide
103,péptido beta-amiloide 40 (sustancia),amyloid beta 40 peptide
104,Amyloid beta 40 peptide,amyloid beta 40 peptide
105,Amyloid beta 40 peptide,amyloid beta 40 peptide
106,Amyloid beta 40 peptide,amyloid beta 40 peptide
107,Amyloid beta 40 peptide,amyloid beta 40 peptide
108,péptido beta-amiloide 40,amyloid beta 40 peptide
109,tau Proteine,tau protein
110,Tauタンパク質,tau protein
111,タウタンパク質,tau protein
112,Białka tau,tau protein
113,ТАУ БЕЛКИ,tau protein
114,Proteínas tau,tau protein
115,proteína tau (sustancia),tau protein
116,tau Proteins,tau protein
117,tau protein,tau protein
118,Tau protein,tau protein
119,Microtubule protein tau,tau protein
120,TAU-PROTEINY,tau protein
121,ТАУ-ПРОТЕИНЫ,tau protein
122,tau Proteins,tau protein
123,tau Protein,tau protein
124,Tau-proteiinit,tau protein
125,TAU PROTEINI,tau protein
126,tau-proteiner,tau protein
127,"Proteins, tau",tau protein
128,Tau protein,tau protein
129,Tau protein (substance),tau protein
130,TAU БЕЛКИ,tau protein
131,"Protein, tau",tau protein
132,Tau protein,tau protein
133,タウ蛋白質,tau protein
134,Cerebrospinal Fluid,cerebral spinal fluid
135,cerebrospinal fluid,cerebral spinal fluid
136,CSF,cerebral spinal fluid
137,Spinal Fluid,cerebral spinal fluid
138,Cerebral Spinal Fluid,cerebral spinal fluid
139,cerebrospinální likvor,cerebral spinal fluid
140,Liquor cerebrospinalis,cerebral spinal fluid
141,cerebrospinal fluid,cerebral spinal fluid
142,CEREBROSPINAL FLUID,cerebral spinal fluid
143,CSF,cerebral spinal fluid
144,Cerebrospinale vloeistof,cerebral spinal fluid
145,Cerebrospinal Fluid,cerebral spinal fluid
146,Cerebrospinal Fluid,cerebral spinal fluid
147,CSF,cerebral spinal fluid
148,Spinal fluid,cerebral spinal fluid
149,Cerebral spinal fluid,cerebral spinal fluid
150,Cerebrospinal Fluids,cerebral spinal fluid
151,"Fluids, Cerebrospinal",cerebral spinal fluid
152,Cerebrospinal fluid,cerebral spinal fluid
153,CSF,cerebral spinal fluid
154,spinal fluid,cerebral spinal fluid
155,liquor cerebrospinalis,cerebral spinal fluid
156,"Fluid, Cerebrospinal",cerebral spinal fluid
157,Cerebrospinal fluid,cerebral spinal fluid
158,"Cerebrospinal fluid, NOS",cerebral spinal fluid
159,ústřední nervový systém,central nervous system
160,Central Nervous System,central nervous system
161,Central Nervous System,central nervous system
162,"Nervous Systems, Central",central nervous system
163,Central nervous system,central nervous system
164,Central nervous system,central nervous system
165,Central nervous system,central nervous system
166,Central nervous system,central nervous system
167,central nervous system,central nervous system
168,central nervous system,central nervous system
169,CNS,central nervous system
170,Centraal zenuwstelsel,central nervous system
171,Central nervous system,central nervous system
172,Central nervous system,central nervous system
173,Central nervous system,central nervous system
174,CNS,central nervous system
175,CNS,central nervous system
176,Central Nervous System,central nervous system
177,CNS,central nervous system
178,Central nervous system,central nervous system
179,central nervous system,central nervous system
180,Structures of the central nervous system,central nervous system
181,Central Nervous System,central nervous system
182,Central Nervous System,central nervous system
183,Central Nervous Systems,central nervous system
184,Tau protein.phosphorylated 181,"tau protein, phosphorylate"
185,Tau protein.phosphorylated 181,"tau protein, phosphorylate"
186,Phosphorylated tau 181,"tau protein, phosphorylate"
187,"proteína tau, fosforilada 181 (sustancia)","tau protein, phosphorylate"
188,"Tau protein, phosphorylated 181","tau protein, phosphorylate"
189,"proteína tau, fosforilada 181","tau protein, phosphorylate"
190,"Tau protein, phosphorylated 181 (substance)","tau protein, phosphorylate"
191,البزل القطني,lumbar puncture
192,Lumbální punkce,lumbar puncture
193,Diagnostic lumbar puncture,lumbar puncture
194,Lumbar Puncture,lumbar puncture
195,spinální punkce,lumbar puncture
196,Ruggeprik,lumbar puncture
197,Diagnostic lumbar puncture,lumbar puncture
198,diagnostic lumbar puncture,lumbar puncture
199,Lumbar puncture,lumbar puncture
200,Lumbar puncture,lumbar puncture
201,"Punctie, lumbale",lumbar puncture
202,Diagnostic lumbar puncture,lumbar puncture
203,Diagnostic lumbar puncture,lumbar puncture
204,"Punctures, Lumbar",lumbar puncture
205,lumbální punkce,lumbar puncture
206,Lumbar Punctures,lumbar puncture
207,البزل القطني,lumbar puncture
208,Lumbální punkce,lumbar puncture
209,Lumbaalpunctie,lumbar puncture
210,lumbaalpunctie,lumbar puncture
211,lumbaalpunctie,lumbar puncture
212,spinal puncture,lumbar puncture
213,"Punctures, Spinal",lumbar puncture
214,"Puncture, Lumbar",lumbar puncture
215,lumbar puncture,lumbar puncture
216,apolipoprotein E-4,apoe4
217,Apolipoprotein E4,apoe4
218,Apolipoprotein E 4,apoe4
219,apoe4,apoe4
220,Apo E4,apoe4
221,Apolipoprotéine de type E4,apoe4
222,ApoE4,apoe4
223,apo e4,apoe4
224,Apolipoprotein E-4,apoe4
225,ApoE4,apoe4
226,Apo E-4,apoe4
227,Apo E epsilon 4,apoe4
228,アポリポ蛋白質E4,apoe4
229,apo E epsilon 4,apoe4
230,Apolipoprotein E4,apoe4
231,Apolipoprotein E4,apoe4
232,Apolipoprotein E4,apoe4
233,Apolipoprotéine E4,apoe4
234,Apolipoprotein E4,apoe4
235,Apo E4,apoe4
236,Apo-E-epsilon 4,apoe4
237,Apo E-4,apoe4
238,apo E-4,apoe4
239,Apolipoprotein E4,apoe4
240,Apolipoprotein E4,apoe4
241,ACYLCHOLINE ACYLHYDROLASE,bche gene
242,cholinesterase 1,bche gene
243,E1,bche gene
244,cholinesterase (serum) 2,bche gene
245,Butyrylcholinesterase Gene,bche gene
246,BCHE Gene,bche gene
247,CHE1,bche gene
248,BCHE gene,bche gene
249,BCHE gene,bche gene
250,BCHE gene,bche gene
251,BUTYRYLCHOLINESTERASE,bche gene
252,butyrylcholinesterase,bche gene
253,BCHE,bche gene
254,BCHE gene,bche gene
255,BCHE,bche gene
256,CHE1,bche gene
257,PSEUDOCHOLINESTERASE E1,bche gene
258,CHE2,bche gene
259,BCHE,bche gene
260,Insulin,insulin
261,Insulin,insulin
262,Insulin,insulin
263,Insulin,insulin
264,rozpustný inzulin,insulin
265,Insulin,insulin
266,Insulin,insulin
267,Insulin,insulin
268,Insulin,insulin
269,krystalický inzulin,insulin
270,Insulin,insulin
271,Insulin,insulin
272,insulin,insulin
273,insulin,insulin
274,INSULIN,insulin
275,regular inzulin,insulin
276,insulin,insulin
277,Insulin,insulin
278,Insulin,insulin
279,Insulin,insulin
280,Insulin,insulin
281,Insulin,insulin
282,Insulin,insulin
283,insulin,insulin
284,insulin,insulin
285,"Tangles, Neurofibrillary",Neurofibrillary tangles
286,Alzheimer's neurofibrillary change,Neurofibrillary tangles
287,Argentophilic neuronal inclusion,Neurofibrillary tangles
288,Paired helical filaments,Neurofibrillary tangles
289,Neurofibrillaris kötegek,Neurofibrillary tangles
290,ｼﾝｹｲｹﾞﾝｾﾝｲﾍﾝｶ,Neurofibrillary tangles
291,Nevrofibrillnøster,Neurofibrillary tangles
292,Emaranhados Neurofibrilares,Neurofibrillary tangles
293,degeneración neurofibrilar (anomalía morfológica),Neurofibrillary tangles
294,degeneración neurofibrilar de Alzheimer,Neurofibrillary tangles
295,Ovillo Neurofibrilar,Neurofibrillary tangles
296,تشابكات ليفية عصبية,Neurofibrillary tangles
297,neurofibrilární klubíčka,Neurofibrillary tangles
298,Neurofibrillary Tangles,Neurofibrillary tangles
299,Alzheimer's neurofibrillary change,Neurofibrillary tangles
300,NFT,Neurofibrillary tangles
301,Neurofibrillaarsed puntrad,Neurofibrillary tangles
302,Grovigli neurofibrillari,Neurofibrillary tangles
303,神経原線維のもつれ,Neurofibrillary tangles
304,Splątki neurofibrylarne,Neurofibrillary tangles
305,Emaranhados neurofibrilares,Neurofibrillary tangles
306,Neurofibrilarni čvorovi,Neurofibrillary tangles
307,degeneración neurofibrilar,Neurofibrillary tangles
308,Maraña Neurofibrilar,Neurofibrillary tangles
309,cambio neurofibrilar de Alzheimer,Neurofibrillary tangles
310,EEA1 gene,eea1
311,EEA1,eea1
312,early endosome antigen 1,eea1
313,ZFYVE2,eea1
314,"EARLY ENDOSOME ANTIGEN, 162-KD",eea1
315,EEA1 gene,eea1
316,EEA1,eea1
317,EARLY ENDOSOME ANTIGEN 1,eea1
318,"early endosome antigen 1, 162kD",eea1
319,závažná kognitivní porucha,dementia
320,Demence NOS,dementia
321,Demence,dementia
322,خرف,dementia
323,خرف,dementia
324,الاختلاط العقلي,dementia
325,amence,dementia
326,خرف غير محدد,dementia
327,demence,dementia
328,Demence,dementia
329,Amence,dementia
330,Dementia,dementia
331,dementie; progressief,dementia
332,Dementia,dementia
333,Dementias,dementia
334,Dementias,dementia
335,dementia,dementia
336,dementia,dementia
337,dementia,dementia
338,dementia,dementia
339,Amentia,dementia
340,Amentia,dementia
341,Dementia,dementia
342,Dementia,dementia
343,Dementia,dementia
344,ضعف الإدراك خفيف,mild cognitive impairment 
345,Mírná kognitivní porucha,mild cognitive impairment 
346,Mild cognitive disorder,mild cognitive impairment 
347,mírná kognitivní porucha,mild cognitive impairment 
348,licht; cognitieve stoornis,mild cognitive impairment 
349,stoornis; licht cognitief,mild cognitive impairment 
350,kognitivní funkce - mírné zhoršení,mild cognitive impairment 
351,Lichte cognitieve stoornis,mild cognitive impairment 
352,lichte cognitieve stoornis,mild cognitive impairment 
353,"cognitief; stoornis, licht",mild cognitive impairment 
354,"stoornis; cognitief, licht",mild cognitive impairment 
355,Mild cognitive disorder,mild cognitive impairment 
356,Mild cognitive disorder,mild cognitive impairment 
357,Mild cognitive impairment,mild cognitive impairment 
358,"Cognitive impairment, mild,",mild cognitive impairment 
359,"Cognitive impairment, mild",mild cognitive impairment 
360,MCI (Mild Cognitive Impairment),mild cognitive impairment 
361,Mild cognitive disorder,mild cognitive impairment 
362,Mild cognitive disorder,mild cognitive impairment 
363,Mild cognitive disorder NOS,mild cognitive impairment 
364,disorder; mild cognitive,mild cognitive impairment 
365,MCI,mild cognitive impairment 
366,Mild cognitive disorder (diagnosis),mild cognitive impairment 
367,Mild Cognitive Impairment,mild cognitive impairment 
368,Mild cognitive impairment,mild cognitive impairment 
